searge,name,side,desc
C_140945_,com.mojang.math.Constants,2,
C_5250_,net.minecraft.ResourceLocationException,2,
C_5333_,net.minecraft.server.commands.ForceLoadCommand,2,
C_5334_,net.minecraft.server.commands.FunctionCommand,2,
C_5335_,net.minecraft.server.commands.GameModeCommand,2,
C_5336_,net.minecraft.server.commands.GameRuleCommand,2,
C_5336_$1,net.minecraft.server.commands.GameRuleCommand$1,2,
C_5338_,net.minecraft.server.commands.GiveCommand,2,
C_5339_,net.minecraft.server.commands.HelpCommand,2,
C_141899_,net.minecraft.server.commands.ItemCommands,2,
C_182764_,net.minecraft.server.commands.JfrCommand,2,
C_5340_,net.minecraft.server.commands.KickCommand,2,
C_5341_,net.minecraft.server.commands.KillCommand,2,
C_5342_,net.minecraft.server.commands.ListPlayersCommand,2,
C_5343_,net.minecraft.server.commands.LocateBiomeCommand,2,
C_5344_,net.minecraft.server.commands.LocateCommand,2,
C_5345_,net.minecraft.server.commands.LootCommand,2,
C_5345_$C_5346_,net.minecraft.server.commands.LootCommand$Callback,2,
C_5345_$C_5347_,net.minecraft.server.commands.LootCommand$DropConsumer,2,
C_5345_$C_5348_,net.minecraft.server.commands.LootCommand$TailProvider,2,
C_5349_,net.minecraft.server.commands.MsgCommand,2,
C_5350_,net.minecraft.server.commands.OpCommand,2,
C_5351_,net.minecraft.server.commands.PardonCommand,2,
C_5352_,net.minecraft.server.commands.PardonIpCommand,2,
C_5353_,net.minecraft.server.commands.ParticleCommand,2,
C_141900_,net.minecraft.server.commands.PerfCommand,2,
C_5354_,net.minecraft.server.commands.PlaySoundCommand,2,
C_5355_,net.minecraft.server.commands.PublishCommand,2,
C_141901_,net.minecraft.server.commands.RaidCommand,2,
C_5356_,net.minecraft.server.commands.RecipeCommand,2,
C_5357_,net.minecraft.server.commands.ReloadCommand,2,
C_182765_,net.minecraft.server.commands.ResetChunksCommand,2,
C_5285_,net.minecraft.SharedConstants,2,
C_5359_,net.minecraft.server.commands.SaveAllCommand,2,
C_5360_,net.minecraft.server.commands.SaveOffCommand,2,
C_5361_,net.minecraft.server.commands.SaveOnCommand,2,
C_5365_,net.minecraft.server.commands.SayCommand,2,
C_5366_,net.minecraft.server.commands.ScheduleCommand,2,
C_5367_,net.minecraft.server.commands.ScoreboardCommand,2,
C_5368_,net.minecraft.server.commands.SeedCommand,2,
C_5369_,net.minecraft.server.commands.SetBlockCommand,2,
C_5369_$C_5370_,net.minecraft.server.commands.SetBlockCommand$Filter,2,
C_5369_$C_5371_,net.minecraft.server.commands.SetBlockCommand$Mode,2,
C_5372_,net.minecraft.server.commands.SetPlayerIdleTimeoutCommand,2,
C_5373_,net.minecraft.server.commands.SetSpawnCommand,2,
C_5374_,net.minecraft.server.commands.SetWorldSpawnCommand,2,
C_5375_,net.minecraft.server.commands.SpectateCommand,2,
C_5376_,net.minecraft.server.commands.SpreadPlayersCommand,2,
C_5376_$C_5377_,net.minecraft.server.commands.SpreadPlayersCommand$Position,2,
C_5378_,net.minecraft.server.commands.StopCommand,2,
C_5379_,net.minecraft.server.commands.StopSoundCommand,2,
C_5380_,net.minecraft.server.commands.SummonCommand,2,
C_5381_,net.minecraft.server.commands.TagCommand,2,
C_5382_,net.minecraft.server.commands.TeamCommand,2,
C_5383_,net.minecraft.server.commands.TeamMsgCommand,2,
C_5384_,net.minecraft.server.commands.TeleportCommand,2,
C_5384_$C_5385_,net.minecraft.server.commands.TeleportCommand$LookAt,2,
C_5386_,net.minecraft.server.commands.TellRawCommand,2,
C_5387_,net.minecraft.server.commands.TimeCommand,2,
C_5388_,net.minecraft.server.commands.TitleCommand,2,
C_5389_,net.minecraft.server.commands.TriggerCommand,2,
C_5390_,net.minecraft.server.commands.WeatherCommand,2,
C_5391_,net.minecraft.server.commands.WhitelistCommand,2,
C_140956_,net.minecraft.SystemReport,2,
C_5392_,net.minecraft.server.commands.WorldBorderCommand,2,
C_5393_,net.minecraft.server.commands.data.BlockDataAccessor,2,
C_5393_$1,net.minecraft.server.commands.data.BlockDataAccessor$1,2,
C_5395_,net.minecraft.server.commands.data.DataAccessor,2,
C_5398_,net.minecraft.server.commands.data.DataCommands,2,
C_5398_$C_5399_,net.minecraft.server.commands.data.DataCommands$DataManipulator,2,
C_5398_$C_5400_,net.minecraft.server.commands.data.DataCommands$DataManipulatorDecorator,2,
C_5398_$C_5401_,net.minecraft.server.commands.data.DataCommands$DataProvider,2,
C_5402_,net.minecraft.server.commands.data.EntityDataAccessor,2,
C_5402_$1,net.minecraft.server.commands.data.EntityDataAccessor$1,2,
C_5404_,net.minecraft.server.commands.data.StorageDataAccessor,2,
C_5404_$1,net.minecraft.server.commands.data.StorageDataAccessor$1,2,
C_140946_,net.minecraft.server.commands.data.package-info,2,
C_140947_,net.minecraft.server.commands.package-info,2,
C_5406_,net.minecraft.server.dedicated.DedicatedPlayerList,2,
C_5407_,net.minecraft.server.dedicated.DedicatedServer,2,
C_5407_$1,net.minecraft.server.dedicated.DedicatedServer$1,2,
C_5409_,net.minecraft.server.dedicated.DedicatedServerProperties,2,
C_5410_,net.minecraft.server.dedicated.DedicatedServerSettings,2,
C_5411_,net.minecraft.server.dedicated.ServerWatchdog,2,
C_5411_$1,net.minecraft.server.dedicated.ServerWatchdog$1,2,
C_5413_,net.minecraft.server.dedicated.Settings,2,
C_5413_$C_5415_,net.minecraft.server.dedicated.Settings$MutableValue,2,
C_140948_,net.minecraft.server.dedicated.package-info,2,
C_5416_,net.minecraft.server.gui.MinecraftServerGui,2,
C_5416_$1,net.minecraft.server.gui.MinecraftServerGui$1,2,
C_5416_$2,net.minecraft.server.gui.MinecraftServerGui$2,2,
C_5419_,net.minecraft.server.gui.PlayerListComponent,2,
C_5420_,net.minecraft.server.gui.StatsComponent,2,
C_140949_,net.minecraft.server.gui.package-info,2,
C_5421_,net.minecraft.server.level.BlockDestructionProgress,2,
C_5422_,net.minecraft.server.level.ChunkHolder,2,
C_5422_$1,net.minecraft.server.level.ChunkHolder$1,2,
C_5422_$C_5424_,net.minecraft.server.level.ChunkHolder$ChunkLoadingFailure,2,
C_5422_$C_5424_$1,net.minecraft.server.level.ChunkHolder$ChunkLoadingFailure$1,2,
C_5422_$C_140950_,net.minecraft.server.level.ChunkHolder$ChunkSaveDebug,2,
C_5422_$C_5426_,net.minecraft.server.level.ChunkHolder$FullChunkStatus,2,
C_5422_$C_5427_,net.minecraft.server.level.ChunkHolder$LevelChangeListener,2,
