searge,name,side,desc
f_142767_,PI,2,
f_142768_,RAD_TO_DEG,2,
f_142769_,DEG_TO_RAD,2,
f_142770_,EPSILON,2,
f_138862_,ERROR_TEAM_ALREADY_EXISTS,2,
f_138863_,ERROR_TEAM_NAME_TOO_LONG,2,
f_138864_,ERROR_TEAM_ALREADY_EMPTY,2,
f_138865_,ERROR_TEAM_ALREADY_NAME,2,
f_138866_,ERROR_TEAM_ALREADY_COLOR,2,
f_138867_,ERROR_TEAM_ALREADY_FRIENDLYFIRE_ENABLED,2,
f_138868_,ERROR_TEAM_ALREADY_FRIENDLYFIRE_DISABLED,2,
f_138869_,ERROR_TEAM_ALREADY_FRIENDLYINVISIBLES_ENABLED,2,
f_138870_,ERROR_TEAM_ALREADY_FRIENDLYINVISIBLES_DISABLED,2,
f_138871_,ERROR_TEAM_NAMETAG_VISIBLITY_UNCHANGED,2,
f_138872_,ERROR_TEAM_DEATH_MESSAGE_VISIBLITY_UNCHANGED,2,
f_138873_,ERROR_TEAM_COLLISION_UNCHANGED,2,
f_138996_,SUGGEST_STYLE,2,
f_138997_,ERROR_NOT_ON_TEAM,2,
f_139006_,INVALID_POSITION,2,
f_139052_,position,2,
f_139053_,entity,2,
f_139054_,anchor,2,
f_139135_,ERROR_NOT_PRIMED,2,
f_139136_,ERROR_INVALID_OBJECTIVE,2,
f_142787_,DEFAULT_TIME,2,
f_139191_,ERROR_ALREADY_ENABLED,2,
f_139192_,ERROR_ALREADY_DISABLED,2,
f_139193_,ERROR_ALREADY_WHITELISTED,2,
f_139194_,ERROR_NOT_WHITELISTED,2,
f_139237_,ERROR_SAME_CENTER,2,
f_139238_,ERROR_SAME_SIZE,2,
f_139239_,ERROR_TOO_SMALL,2,
f_139240_,ERROR_TOO_BIG,2,
f_139241_,ERROR_SAME_WARNING_TIME,2,
f_139242_,ERROR_SAME_WARNING_DISTANCE,2,
f_139243_,ERROR_SAME_DAMAGE_BUFFER,2,
f_139244_,ERROR_SAME_DAMAGE_AMOUNT,2,
f_139291_,PROVIDER,2,
f_139292_,ERROR_NOT_A_BLOCK_ENTITY,2,
