param,name,side
p_138895_,pSource,2
p_138896_,pTeam,2
p_138897_,pPlayers,2
p_138903_,pSource,2
p_138904_,pTeam,2
p_138905_,pValue,2
p_138882_,pSource,2
p_138878_,pDispatcher,2
p_138884_,pSource,2
p_138885_,pTeam,2
p_138891_,pSource,2
p_138892_,pTeam,2
p_138893_,pVisibility,2
p_138899_,pSource,2
p_138900_,pTeam,2
p_138901_,pValue,2
p_138914_,pSource,2
p_138915_,pName,2
p_138911_,pSource,2
p_138912_,pName,2
p_138907_,pSource,2
p_138908_,pTeam,2
p_138909_,pValue,2
p_138918_,pSource,2
p_138919_,pPlayers,2
p_138887_,pSource,2
p_138888_,pTeam,2
p_138889_,pRule,2
p_138938_,pSource,2
p_138939_,pTeam,2
p_138940_,pValue,2
p_138927_,pSource,2
p_138928_,pTeam,2
p_138930_,pSource,2
p_138931_,pTeam,2
p_138932_,pVisibility,2
p_138934_,pSource,2
p_138935_,pTeam,2
p_138936_,pPrefix,2
p_138944_,pSource,2
p_138945_,pTeam,2
p_138947_,pSource,2
p_138948_,pTeam,2
p_138949_,pSuffix,2
p_139009_,pDispatcher,2
p_139026_,pSource,2
p_139027_,pTargets,2
p_139028_,pLevel,2
p_139029_,pPosition,2
p_139030_,pRotation,2
p_139031_,pFacing,2
p_139015_,pSource,2
p_139016_,pEntity,2
p_139017_,pLevel,2
p_139018_,pX,2
p_139020_,pY,2
p_139022_,pZ,2
p_139024_,pRelativeList,2
p_139033_,pSource,2
p_139034_,pTargets,2
p_139035_,pDestination,2
p_139061_,pSource,2
p_139062_,pEntity,2
p_139064_,pDispatcher,2
p_139072_,pDispatcher,2
p_139078_,pSource,2
p_139079_,pTime,2
p_139070_,pLevel,2
p_139083_,pSource,2
p_139084_,pAmount,2
p_139088_,pSource,2
p_139089_,pTime,2
p_139112_,pSource,2
p_139113_,pTarget,2
p_139114_,pFade,2
p_139115_,pStay,2
p_139116_,pFadeOut,2
p_139103_,pDispatcher,2
p_139109_,pSource,2
p_139110_,pTargets,2
p_139125_,pSource,2
p_139126_,pTargets,2
p_139142_,pDispatcher,2
p_139155_,pSource,2
p_139156_,pObjective,2
p_139157_,pAmount,2
p_139149_,pSource,2
p_139150_,pBuilder,2
p_139139_,pPlayer,2
p_139140_,pObjective,2
p_139152_,pSource,2
p_139153_,pObjectives,2
p_139161_,pSource,2
p_139162_,pObjective,2
p_139163_,pValue,2
p_139173_,pSource,2
p_139174_,pTime,2
p_139167_,pDispatcher,2
p_139178_,pSource,2
p_139179_,pTime,2
p_139183_,pSource,2
p_139184_,pTime,2
p_139209_,pSource,2
p_139202_,pDispatcher,2
p_139211_,pSource,2
p_139212_,pPlayers,2
p_139219_,pSource,2
p_139221_,pSource,2
p_139222_,pPlayers,2
p_139226_,pSource,2
p_139230_,pSource,2
p_139251_,pSource,2
p_139247_,pDispatcher,2
p_139253_,pSource,2
p_139254_,pNewSize,2
p_139257_,pSource,2
p_139258_,pDistance,2
p_139260_,pSource,2
p_139261_,pTime,2
p_139263_,pSource,2
p_139264_,pPos,2
p_139273_,pSource,2
p_139274_,pDistance,2
p_139270_,pSource,2
p_139271_,pDamagePerBlock,2
p_139307_,pOther,2
p_139309_,pPath,2
p_139301_,pPath,2
p_139302_,pScale,2
p_139319_,pContext,2
p_139316_,pBuilder,2
p_139317_,pAction,2
p_139323_,pOther,2
p_139324_,pPath,2
p_139320_,pPath,2
p_139321_,pScale,2
p_139383_,pSource,2
p_139384_,pAccessor,2
p_139395_,pSource,2
p_139396_,pAccessor,2
p_139397_,pNbt,2
p_139386_,pSource,2
p_139387_,pAccessor,2
p_139388_,pPath,2
p_139366_,pDispatcher,2
p_139390_,pSource,2
p_139391_,pAccessor,2
p_139392_,pPath,2
p_139393_,pScale,2
p_139444_,pSource,2
p_139445_,pAccessor,2
p_139504_,pContext,2
p_139502_,pBuilder,2
p_139503_,pAction,2
p_139519_,pOther,2
p_139521_,pPath,2
p_139513_,pPath,2
p_139514_,pScale,2
p_139530_,pContext,2
p_139527_,pBuilder,2
p_139528_,pAction,2
p_139556_,pOther,2
p_139558_,pPath,2
p_139550_,pPath,2
p_139551_,pScale,2
p_139570_,pContext,2
p_139567_,pBuilder,2
p_139568_,pAction,2
p_139582_,pProfile,2
p_139584_,pWhitelistEnabled,2
p_139587_,pProfile,2
p_139590_,pProfile,2
p_139592_,pProfile,2
p_139630_,pLevel,2
p_139631_,pPos,2
p_139632_,pPlayer,2
p_139636_,pSnooper,2
p_139642_,pProfile,2
p_139644_,pCommand,2
p_139661_,pHasTimeLeft,2
p_139676_,pIdleTimeout,2
p_139833_,pKey,2
p_139842_,pParseFunc,2
p_139851_,pById,2
p_139852_,pByName,2
p_139809_,pKey,2
p_139806_,pKey,2
p_139812_,pKey,2
p_139827_,pKey,2
p_139818_,pKey,2
p_139837_,pKey,2
p_139822_,pKey,2
p_139840_,pPath,2
p_139877_,pPath,2
p_139879_,pKey,2
p_139915_,pTextArea,2
p_139916_,pScrollPane,2
p_139917_,pLine,2
p_136189_,pCharacter,2
p_136191_,pInput,2
p_139982_,pDamage,2
p_139987_,pCreatedAtCloudUpdateTick,2
p_140037_,pType,2
p_140038_,pSectionY,2
p_140030_,pLevel,2
p_140031_,pPos,2
p_140064_,pPacket,2
p_140065_,pBoundaryOnly,2
p_140028_,pLevel,2
p_140055_,pChunk,2
p_140075_,pLevel,2
p_140084_,pLevel,2
p_140115_,pType,2
p_140123_,pPos,2
p_140124_,pBoundaryOnly,2
p_140185_,pPlayer,2
p_140339_,pChunkPos,2
p_140340_,pX,2
p_140341_,pY,2
p_140182_,pChunkPos,2
p_140281_,pHasMoreTime,2
p_140200_,pEntity,2
p_140259_,pChunk,2
p_140168_,pViewDistance,2
p_140227_,pChunkPos,2
p_140228_,pEntity,2
p_140252_,pPos,2
p_140253_,pBoundaryOnly,2
p_140319_,pFlush,2
p_140207_,pChunkPos,2
p_140208_,pX,2
p_140209_,pY,2
p_140205_,pPos,2
p_140177_,pChunkPos,2
p_140179_,pNewLevel,2
p_140180_,pHolder,2
p_140202_,pEntity,2
p_140193_,pPlayer,2
p_140194_,pTrack,2
p_140332_,pEntity,2
p_140361_,pChunkHolder,2
p_140362_,pChunkStatus,2
p_140330_,pPlayer,2
p_140354_,pHasMoreTime,2
p_140334_,pEntity,2
p_143120_,pChunkPos,2
p_143121_,pX,2
p_140398_,pChunkPos,2
p_140418_,pChunkPos,2
p_140428_,pPos,2
p_140464_,pChunkPos,2
p_140466_,pNewLevel,2
p_140467_,pHolder,2
p_140469_,pChunkPos,2
p_140488_,pPlayersList,2
p_140486_,pPlayer,2
p_140498_,pPlayer,2
p_140536_,pTask,2
p_140537_,pChunkPos,2
p_140531_,pChunkPos,2
p_140711_,pPos,2
p_140713_,pExcludedSourcePos,2
p_140707_,pPos,2
p_140709_,pLevel,2
p_140705_,pPos,2
p_140720_,pStartPos,2
p_140722_,pEndPos,2
p_140716_,pPos,2
p_140718_,pLevel,2
p_140714_,pPos,2
p_140742_,pPlayer,2
p_140743_,pLevel,2
p_140744_,pStack,2
p_140745_,pHand,2
p_140780_,pChunkPos,2
p_140782_,pNewLevel,2
p_140783_,pHolder,2
p_140785_,pChunkPos,2
p_140800_,pPos,2
p_140801_,pAdd,2
p_140778_,pViewDistance,2
p_140803_,pSectionPos,2
p_140804_,pPlayer,2
p_140793_,pChunkPos,2
p_140795_,pTicket,2
p_140806_,pChunkManager,2
p_140829_,pSectionPos,2
p_140830_,pPlayer,2
p_140819_,pChunkPos,2
p_140824_,pChunkPos,2
p_140826_,pTicket,2
p_140817_,pChunkPos,2
p_140841_,pType,2
p_140842_,pPos,2
p_140843_,pDistance,2
p_140844_,pValue,2
p_140848_,pChunkPos,2
p_140850_,pType,2
p_140851_,pPos,2
p_140852_,pDistance,2
p_140853_,pValue,2
p_140880_,pSectionPos,2
p_140883_,pPos,2
p_140885_,pSectionPos,2
p_140895_,pChunkPos,2
p_140897_,pOldLevel,2
p_140893_,pSectionPos,2
p_140899_,pPos,2
p_140901_,pSectionPos,2
p_140903_,pChunkPos,2
p_140915_,pChunkPos,2
p_140917_,pOldLevel,2
p_140913_,pViewDistance,2
p_140919_,pChunkPos,2
p_140921_,pOldLevel,2
p_140922_,pNewLevel,2
p_8246_,pOldChunkPos,2
p_8248_,pNewChunkPos,2
p_8244_,pChunkPos,2
p_8250_,pChunkPos,2
p_8257_,pPlayer,2
p_8253_,pChunkPos,2
p_8255_,pPlayer,2
p_8259_,pPlayer,2
p_8261_,pPlayer,2
p_8263_,pPlayer,2
p_8284_,pPos,2
p_8286_,pExcludedSourcePos,2
p_8280_,pPos,2
p_8282_,pLevel,2
p_8278_,pPos,2
p_8293_,pStartPos,2
p_8295_,pEndPos,2
p_8289_,pPos,2
p_8291_,pLevel,2
p_8287_,pPos,2
p_8309_,pOverlay,2
p_8305_,pPlayer,2
p_8315_,pDarkenSky,2
p_8311_,pName,2
p_8307_,pColor,2
p_8316_,pPlayer,2
p_8318_,pPlayEndBossMusic,2
p_8320_,pCreateFog,2
p_8322_,pVisible,2
p_8420_,pFlush,2
p_8386_,pPlayer,2
p_8425_,pHostile,2
p_8426_,pPeaceful,2
p_8451_,pPos,2
p_8449_,pChunkPos,2
p_8400_,pPos,2
p_8401_,pAdd,2
p_8403_,pType,2
p_8404_,pPos,2
p_8388_,pType,2
p_8389_,pPos,2
p_8390_,pDistance,2
p_8391_,pValue,2
p_8360_,pChunkX,2
p_8361_,pChunkZ,2
p_8362_,pRequiredStatus,2
p_8363_,pLoad,2
p_8444_,pEntity,2
p_8395_,pEntity,2
p_8396_,pPacket,2
p_8355_,pViewDistance,2
p_8357_,pChunkX,2
p_8358_,pChunkZ,2
p_8374_,pPos,2
p_8464_,pEntity,2
p_8446_,pEntity,2
p_8447_,pPacket,2
p_8429_,pX,2
p_8430_,pZ,2
p_8439_,pType,2
p_8440_,pPos,2
p_8441_,pDistance,2
p_8442_,pValue,2
p_8454_,pChunkX,2
p_8455_,pChunkZ,2
p_8502_,pTask,2
p_8504_,pRunnable,2
p_8506_,pRunnable,2
p_8537_,pPacketConsumer,2
p_8535_,pPlayer,2
p_8539_,pPacket,2
p_8542_,pPlayer,2
p_8653_,pExploder,2
p_8654_,pDamageSource,2
p_8655_,pContext,2
p_8656_,pX,2
p_8658_,pY,2
p_8660_,pZ,2
p_8763_,pPos,2
p_8623_,pPlayer,2
p_8800_,pSpawnHostiles,2
p_8801_,pSpawnPassives,2
p_8696_,pPlayer,2
p_8697_,pPos,2
p_8671_,pType,2
p_8672_,pTarget,2
p_8673_,pHost,2
p_8755_,pPos,2
p_8756_,pOldState,2
p_8757_,pNewState,2
p_8758_,pFlags,2
p_8637_,pType,2
p_8638_,pPosX,2
p_8640_,pPosY,2
p_8642_,pPosZ,2
p_8603_,pChunkX,2
p_8604_,pChunkZ,2
p_8605_,pAdd,2
p_8743_,pPos,2
p_8744_,pBlock,2
p_8715_,pChunk,2
p_8716_,pRandomTickSpeed,2
p_8699_,pEvent,2
p_8794_,pHasTimeLeft,2
p_8782_,pWriter,2
p_8783_,pEntities,2
p_8706_,pBiome,2
p_8707_,pPos,2
p_8708_,pRadius,2
p_8709_,pIncrement,2
p_8644_,pProgress,2
p_8645_,pFlush,2
p_8646_,pSkipSave,2
p_8648_,pEntity,2
p_8734_,pPos,2
p_8735_,pAngle,2
p_8607_,pClearTime,2
p_8608_,pWeatherTime,2
p_8609_,pIsRaining,2
p_8610_,pIsThundering,2
p_8650_,pEntity,2
p_8651_,pState,2
p_8675_,pPlayer,2
p_8676_,pX,2
p_8678_,pY,2
p_8680_,pZ,2
p_8682_,pSound,2
p_8599_,pX,2
p_8600_,pY,2
p_8601_,pZ,2
p_8785_,pMapName,2
p_8689_,pPlayer,2
p_8690_,pX,2
p_8692_,pY,2
p_8694_,pZ,2
p_8751_,pPos,2
p_8752_,pBlockState,2
p_8753_,pNewState,2
p_8612_,pBreakerId,2
p_8613_,pPos,2
p_8614_,pProgress,2
p_8713_,pChunk,2
p_8597_,pId,2
p_8718_,pStructure,2
p_8719_,pPos,2
p_8720_,pRadius,2
p_8721_,pSkipExistingChunks,2
p_8787_,pPath,2
p_8723_,pBoundingBox,2
p_8746_,pPos,2
p_8747_,pBlock,2
p_8748_,pEventID,2
p_8749_,pEventParam,2
p_8737_,pPos,2
p_8738_,pSections,2
p_8618_,pServerLevel,2
p_8768_,pType,2
p_8769_,pPosX,2
p_8771_,pPosY,2
p_8773_,pPosZ,2
p_8775_,pParticleCount,2
p_8776_,pXOffset,2
p_8616_,pTime,2
p_8701_,pFluidTickEntry,2
p_8792_,pId,2
p_8625_,pType,2
p_8626_,pPosX,2
p_8628_,pPosY,2
p_8630_,pPosZ,2
p_8632_,pParticleCount,2
p_8633_,pXOffset,2
p_8635_,pYOffset,2
p_8796_,pPredicate,2
p_8684_,pPlayer,2
p_8685_,pType,2
p_8686_,pPos,2
p_8687_,pData,2
p_8663_,pRidingEntity,2
p_8664_,pPassengerEntity,2
p_8837_,pEntity,2
p_8803_,pPos,2
p_8818_,pPlayer,2
p_8822_,pBlockTickEntry,2
p_8829_,pPos,2
p_8811_,pId,2
p_8812_,pPos,2
p_8813_,pData,2
p_8833_,pPos,2
p_8835_,pPlayer,2
p_8848_,pEntity,2
p_8844_,pPos,2
p_8846_,pPlayer,2
p_8854_,pPlayer,2
p_8861_,pEntity,2
p_8873_,pEntity,2
p_9014_,pPlayer,2
p_9026_,pStat,2
p_9027_,pAmount,2
p_9120_,pSectionPos,2
p_8973_,pY,2
p_9059_,pHorse,2
p_9060_,pInventory,2
p_9108_,pAnchor,2
p_9109_,pTarget,2
p_9103_,pState,2
p_9154_,pChatComponent,2
p_9155_,pActionBar,2
p_9131_,pCompound,2
p_9112_,pAnchor,2
p_9113_,pTarget,2
p_9047_,pEntity,2
p_9048_,pQuantity,2
p_9000_,pX,2
p_9002_,pY,2
p_9004_,pZ,2
p_9105_,pCriteria,2
p_9106_,pPoints,2
p_8981_,pStrafe,2
p_8982_,pForward,2
p_8983_,pJumping,2
p_8984_,pSneaking,2
p_9147_,pComponent,2
p_9148_,pSenderUUID,2
p_9115_,pAt,2
p_9031_,pHand,2
p_9184_,pEffect,2
p_9079_,pEnchantedItem,2
p_9080_,pCost,2
p_9144_,pComponent,2
p_9145_,pSenderUUID,2
p_9045_,pEntityHit,2
p_9082_,pStack,2
p_9083_,pHand,2
p_9054_,pEntity,2
p_9055_,pForce,2
p_9050_,pKilled,2
p_9051_,pScoreValue,2
p_9052_,pDamageSource,2
p_9035_,pCause,2
p_9037_,pSource,2
p_9038_,pAmount,2
p_9101_,pSignTile,2
p_8976_,pY,2
p_8978_,pOnGround,2
p_8979_,pState,2
p_9157_,pPacket,2
p_9099_,pCommandBlock,2
p_9024_,pStat,2
p_8988_,pContainerId,2
p_8989_,pOffers,2
p_8990_,pLevel,2
p_8991_,pXp,2
p_9085_,pDroppedItem,2
p_9086_,pDropAround,2
p_9087_,pTraceItem,2
p_9016_,pThat,2
p_9017_,pKeepEverything,2
p_9064_,pOther,2
p_9186_,pEntityHit,2
p_9190_,pPos,2
p_8969_,pX,2
p_8971_,pY,2
p_9180_,pServer,2
p_9182_,pSource,2
p_9175_,pLevel,2
p_9197_,pCompound,2
p_9206_,pPos,2
p_9171_,pX,2
p_9173_,pY,2
p_9200_,pLevels,2
p_9214_,pEntityToSpectate,2
p_9220_,pTargetEntity,2
p_9262_,pPlayer,2
p_9263_,pLevel,2
p_9264_,pStack,2
p_9265_,pHand,2
p_9261_,pServerLevel,2
p_9281_,pPos,2
p_9364_,pPos,2
p_9365_,pIsEmpty,2
p_9339_,pType,2
p_9340_,pPos,2
p_9341_,pArray,2
p_9370_,pPos,2
p_9371_,pRetain,2
p_9430_,pTimestamp,2
p_9435_,pCurrentTime,2
p_9466_,pName,2
p_9467_,pComparator,2
p_9463_,pName,2
p_9464_,pComparator,2
p_9561_,pParticleData,2
p_9562_,pX,2
p_9564_,pY,2
p_9566_,pZ,2
p_9501_,pX,2
p_9503_,pY,2
p_9505_,pZ,2
p_9535_,pHeightmapType,2
p_9536_,pX,2
p_9537_,pZ,2
p_9544_,pPos,2
p_9545_,pState,2
p_9507_,pChunkX,2
p_9508_,pChunkZ,2
p_143494_,pEntity,2
p_143495_,pBoundingBox,2
p_143496_,pPredicate,2
p_9550_,pPos,2
p_9551_,pDropBlock,2
p_9552_,pEntity,2
p_9553_,pRecursionLeft,2
p_9514_,pChunkX,2
p_9515_,pChunkZ,2
p_9539_,pPos,2
p_9540_,pState,2
p_9541_,pFlags,2
p_9542_,pRecursionLeft,2
p_9528_,pPlayer,2
p_9529_,pPos,2
p_9530_,pSound,2
p_9531_,pCategory,2
p_9532_,pVolume,2
p_9533_,pPitch,2
p_9519_,pEntity,2
p_9520_,pBoundingBox,2
p_9521_,pPredicate,2
p_9510_,pX,2
p_9511_,pY,2
p_9512_,pZ,2
p_9547_,pPos,2
p_9548_,pIsMoving,2
p_9523_,pPlayer,2
p_9524_,pType,2
p_9525_,pPos,2
p_9526_,pData,2
p_9587_,pPos,2
p_9580_,pEntity,2
p_9574_,pChunkX,2
p_9575_,pChunkZ,2
p_9577_,pPos,2
p_9582_,pPos,2
p_9585_,pPos,2
p_9592_,pPos,2
p_9610_,pPos,2
p_9611_,pItem,2
p_9612_,pScheduledTime,2
p_9613_,pPriority,2
p_9607_,pPos,2
p_9608_,pItem,2
p_9615_,pPos,2
p_9616_,pObj,2
p_9618_,pChunkPosition,2
p_9619_,pNewStatus,2
p_9617_,pCenter,2
p_9633_,pChunkPosition,2
p_9634_,pNewStatus,2
p_9631_,pCenter,2
p_9645_,pChunkPosition,2
p_9646_,pNewStatus,2
p_9643_,pCenter,2
p_9669_,pChunkPosition,2
p_9670_,pNewStatus,2
p_9664_,pX,2
p_9665_,pZ,2
p_9667_,pCenter,2
p_9681_,pCtx,2
p_9682_,pData,2
p_9684_,pString,2
p_9695_,pReason,2
p_9697_,pPacket,2
p_9712_,pAddress,2
p_9713_,pPort,2
p_143618_,pX,2
p_143620_,pY,2
p_143622_,pZ,2
p_143624_,pYaw,2
p_9911_,pPacket,2
p_9903_,pPacket,2
p_9781_,pX,2
p_9783_,pY,2
p_9785_,pZ,2
p_9858_,pPacket,2
p_9864_,pPacket,2
p_9880_,pPacket,2
p_9891_,pPacket,2
p_9847_,pPacket,2
p_143629_,pPacket,2
p_9926_,pPacket,2
p_9830_,pPacket,2
p_9905_,pPacket,2
p_9897_,pPacket,2
p_9878_,pPacket,2
p_9870_,pPacket,2
p_9845_,pPacket,2
p_9889_,pPacket,2
p_9837_,pPacket,2
p_9928_,pPacket,2
p_9907_,pPacket,2
p_9958_,pCommand,2
p_9899_,pPacket,2
p_9862_,pPacket,2
p_9876_,pPacket,2
p_9887_,pPacket,2
p_9919_,pPacket,2
p_9856_,pPacket,2
p_9843_,pPacket,2
p_9835_,pPacket,2
p_9930_,pPacket,2
p_9913_,pPacket,2
p_9909_,pPacket,2
p_9901_,pPacket,2
p_9860_,pPacket,2
p_9874_,pPacket,2
p_9866_,pPacket,2
p_9825_,pReason,2
p_9882_,pPacket,2
p_9854_,pPacket,2
p_9893_,pPacket,2
p_9841_,pPacket,2
p_9832_,pPacket,2
p_9833_,pFutureListeners,2
p_9932_,pPacket,2
p_9915_,pPacket,2
p_9921_,pPacket,2
p_9943_,pTextComponent,2
p_9775_,pX,2
p_9777_,pY,2
p_9779_,pZ,2
